record_no,snapshot_index,source_vector_index,target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
56,3,9,4b5d62,VIKTOR21,1786673173,position_time,position_time,56,47.45779453701843,8.561913624266055,,unknown,2.6,275.62,,True,1,91,3202998,2196905,0,26,27562,0,True,True,False,True,True,False,True,2650,2650,True,,TeachingLink
57,3,10,4b5d54,GALA6,1786673173,position_time,position_time,57,47.45818077520866,8.549124848633966,,unknown,4.4,278.44,,True,1,91,3203007,2196756,0,44,27844,0,True,True,False,True,True,False,True,2295,2295,True,,TeachingLink
58,3,11,4b5d6e,VIKTOR31,1786673163,position_time,position_time,58,47.44088588735721,8.562428608519696,,unknown,2.6,219.38,,True,1,91,3202604,2196911,0,26,21938,0,True,True,False,True,True,False,True,2508,2508,True,,TeachingLink
59,3,12,4b5c39,GALA21,1786673173,position_time,position_time,59,47.45788036772737,8.549039017925026,,unknown,4.9,247.5,,True,1,91,3203000,2196755,0,49,24750,0,True,True,False,True,True,False,True,2277,2277,True,,TeachingLink
60,3,13,4b5c1b,URSULA8,1786673172,position_time,position_time,60,47.45680748386562,8.562771931355456,,unknown,0.0,118.12,,True,1,91,3202975,2196915,0,0,11812,0,True,True,False,True,True,False,True,2301,2301,True,,TeachingLink
61,3,14,440b61,TAY5DN,1786673173,position_time,position_time,61,49.484000082969686,5.033327349025569,10958.0,barometric,233.10000000000002,36.11,5.850000000000023,False,0,127,3250212,2155794,11958,2331,3611,33353,True,True,True,True,True,True,True,2392,2392,True,,TeachingLink
62,3,15,48ea3a,ENT1511,1786673174,position_time,position_time,62,47.87930914862375,8.046242724953316,10973.0,barometric,229.5,225.45000000000002,0.0,False,0,127,3212820,2190897,11973,2295,22545,32768,True,True,True,True,True,True,True,2550,2550,True,,TeachingLink
63,3,16,424cbf,MACOR,1786673173,position_time,position_time,63,46.868480889435034,11.209018518690698,9731.0,barometric,243.5,222.86,-8.129999999999995,False,0,127,3189266,2227746,10731,2435,22286,31955,True,True,True,True,True,True,True,2869,2869,True,,TeachingLink
64,3,17,a61c53,THY6091,1786673173,position_time,position_time,64,49.394907807089766,10.77428597790859,10363.0,barometric,243.10000000000002,288.51,0.0,False,0,127,3248136,2222681,11363,2431,28851,32768,True,True,True,True,True,True,True,2743,2743,True,,TeachingLink
65,3,18,8966d5,ETD2,1786673173,position_time,position_time,65,47.88128325492937,7.651335633119487,11278.0,barometric,258.3,104.06,0.0,False,0,127,3212866,2186296,12278,2583,10406,32768,True,True,True,True,True,True,True,2444,2444,True,,TeachingLink
66,3,19,4d253b,EWG40C,1786673174,position_time,position_time,66,46.51541626820952,5.776707119156612,11278.0,barometric,225.60000000000002,195.75,0.3299999999999841,False,0,127,3181039,2164455,12278,2256,19575,32801,True,True,True,True,True,True,True,2887,2887,True,,TeachingLink
67,3,20,45b534,GAV596,1786673173,position_time,position_time,67,48.7388178679509,9.424512249115025,11582.0,barometric,222.9,302.37,0.3299999999999841,False,0,127,3232848,2206955,12582,2229,30237,32801,True,True,True,True,True,True,True,2686,2686,True,,TeachingLink
68,3,21,4d240c,EWG53L,1786673173,position_time,position_time,68,49.23191529081231,10.58751835525473,5372.0,barometric,193.8,248.68,9.100000000000023,False,0,127,3244338,2220505,6372,1938,24868,33678,True,True,True,True,True,True,True,2808,2808,True,,TeachingLink
69,3,22,ad35c8,N950MP,1786673174,position_time,position_time,69,45.92949293362926,11.33450301516126,13716.0,barometric,255.70000000000002,118.21000000000001,-0.3299999999999841,False,0,127,3167386,2229208,14716,2557,11821,32735,True,True,True,True,True,True,True,3006,3006,True,,TeachingLink
70,3,23,3889ff,LA2,1786673173,position_time,position_time,70,45.716418198685204,5.092636368903243,,unknown,8.200000000000001,81.56,,True,1,91,3162421,2156485,0,82,8156,0,True,True,False,True,True,False,True,2327,2327,True,,TeachingLink
71,3,24,4b17fd,SWR7DC,1786673098,position_time,position_time,71,47.44431911571482,8.567406789638227,,unknown,0.4,244.69,,True,1,91,3202684,2196969,0,4,24469,0,True,True,False,True,True,False,True,2744,2744,True,,TeachingLink
