record_no,snapshot_index,source_vector_index,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
18,1,18,lat,46.5527,True,3181908,0,46.552709711244034,True,9.71124403293e-06/4.29153544701e-05,True
18,1,18,lon,5.7932,True,2164647,1,5.793186615273129,True,1.33847268708e-05/8.58307089402e-05,True
18,1,18,altitude,11277.6,True,12278,2,11278.0,True,0.4/1,True
18,1,18,speed,224.65,True,2247,3,224.70000000000002,True,0.05/0.1,True
18,1,18,heading,200.51,True,20051,4,200.51,True,0/0.01,True
18,1,18,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
18,1,18,callsign,EWG40C,True,EWG40C,6,EWG40C,True,0/0,True
19,1,19,lat,48.7181,True,3232365,0,48.71808975174184,True,1.02482581568e-05/4.29153544701e-05,True
19,1,19,lon,9.474,True,2207532,1,9.474036568173517,True,3.65681735168e-05/8.58307089402e-05,True
19,1,19,altitude,11582.4,True,12582,2,11582.0,True,0.4/1,True
19,1,19,speed,222.93,True,2229,3,222.9,True,0.03/0.1,True
19,1,19,heading,302.37,True,30237,4,302.37,True,0/0.01,True
19,1,19,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
19,1,19,callsign,GAV596,True,GAV596,6,GAV596,True,0/0,True
20,1,20,lat,49.244,True,3244620,0,49.24401742077288,True,1.74207728776e-05/4.29153544701e-05,True
20,1,20,lon,10.6347,True,2221055,1,10.634725245171836,True,2.52451718357e-05/8.58307089402e-05,True
20,1,20,altitude,5189.22,True,6189,2,5189.0,True,0.22/1,True
20,1,20,speed,186.49,True,1865,3,186.5,True,0.00999999999999/0.1,True
20,1,20,heading,248.81,True,24881,4,248.81,True,0/0.01,True
20,1,20,vertical_rate,10.08,True,33776,5,10.079999999999984,True,1.59872115546e-14/0.01,True
20,1,20,callsign,EWG53L,True,EWG53L,6,EWG53L,True,0/0,True
21,1,21,lat,45.9506,True,3167878,0,45.95060728802855,True,7.28802854866e-06/4.29153544701e-05,True
21,1,21,lon,11.2781,True,2228551,1,11.278112239387553,True,1.22393875532e-05/8.58307089402e-05,True
21,1,21,altitude,13716.0,True,14716,2,13716.0,True,0/1,True
21,1,21,speed,255.47,True,2555,3,255.5,True,0.03/0.1,True
21,1,21,heading,118.11,True,11811,4,118.11,True,0/0.01,True
21,1,21,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
21,1,21,callsign,N950MP,True,N950MP,6,N950MP,True,0/0,True
22,1,22,lat,45.7174,True,3162444,0,45.71740525183802,True,5.25183801869e-06/4.29153544701e-05,True
22,1,22,lon,5.0917,True,2156474,1,5.091692231104901,True,7.76889509968e-06/8.58307089402e-05,True
22,1,22,altitude,,False,0,2,,False,0/0,True
22,1,22,speed,5.66,True,57,3,5.7,True,0.04/0.1,True
22,1,22,heading,171.56,True,17156,4,171.56,True,0/0.01,True
22,1,22,vertical_rate,,False,0,5,,False,0/0,True
22,1,22,callsign,LA2,True,LA2,6,LA2,True,0/0,True
